"ra","dec","file","root","grade","zfit","z","comment","References","nRef","grating","filter","sn50","wmin","wmax","Lya","Ha","OIII","HST","NIRCam","slit","FITS","Fnu","Flam"
"215.006406","52.998718","ceers-lr-v1_prism-clear_1345_13282.spec.fits","ceers-lr-v1","3","3.4795","3.4795","","-","0","PRISM","CLEAR","6.56","0.6","5.29","","32.6","38.2","","","","FITS   zfit   spl","",""
"214.768356","52.717641","ceers-lr-v1_prism-clear_1345_1334.spec.fits","ceers-lr-v1","3","5.5","5.5","broad Halpha","KNa23  z=5.503","1","PRISM","CLEAR","9.65","0.6","5.29","4.5","60.2","56.1","","","","FITS   zfit   spl","",""
"215.009342","53.011933","ceers-lr-v1_prism-clear_1345_13656.spec.fits","ceers-lr-v1","3","3.2077","3.2077","","-","0","PRISM","CLEAR","7.31","0.6","5.29","","12.1","12.9","","","","FITS   zfit   spl","",""
"214.82681","52.87837","ceers-lr-v1_prism-clear_1345_13692.spec.fits","ceers-lr-v1","3","4.2216","4.2216","","-","0","PRISM","CLEAR","11.99","0.6","5.29","-2.5","19.2","16.3","","","","FITS   zfit   spl","",""
"214.943911","52.850042","ceers-lr-v1_prism-clear_1345_1374.spec.fits","ceers-lr-v1","3","5.0033","5.0033","","KNa23  z=4.999 ;  YIs23  z=5.000","2","PRISM","CLEAR","6.32","0.6","5.29","5.4","39.8","42.1","","","","FITS   zfit   spl","",""
"215.245315","53.017576","ceers-lr-v1_prism-clear_1345_13764.spec.fits","ceers-lr-v1","1","0.5427","0.5427","","-","0","PRISM","CLEAR","-0.16","0.6","5.29","","0.3","2.8","","","","FITS   zfit   spl","",""
"215.145093","52.992433","ceers-lr-v1_prism-clear_1345_1378.spec.fits","ceers-lr-v1","0","3.0443","3.0443","","-","0","PRISM","CLEAR","-2.08","2.64","5.29","","10.8","","","","","FITS   zfit   spl","",""
"215.231771","53.016005","ceers-lr-v1_prism-clear_1345_13810.spec.fits","ceers-lr-v1","1","0.194","0.194","","-","0","PRISM","CLEAR","1.72","0.6","5.29","","-0.2","","","","","FITS   zfit   spl","",""
"215.209301","53.037894","ceers-lr-v1_prism-clear_1345_1383.spec.fits","ceers-lr-v1","2","4.7933","4.7933","","-","0","PRISM","CLEAR","1.18","0.6","5.29","1.4","14.2","1.2","","","","FITS   zfit   spl","",""
"214.844813","52.748695","ceers-lr-v1_prism-clear_1345_13859.spec.fits","ceers-lr-v1","1","5.5785","5.5785","","-","0","PRISM","CLEAR","0.26","0.6","5.29","-0.5","3.5","2.5","","","","FITS   zfit   spl","",""
"214.786833","52.70885","ceers-lr-v1_prism-clear_1345_13879.spec.fits","ceers-lr-v1","1","5.4599","5.4599","","-","0","PRISM","CLEAR","-0.01","0.6","5.29","3.2","0.4","14.7","","","","FITS   zfit   spl","",""
